pas_lineametro,pas_periodo,pas_valor
METRO_LINEA_B,201807,2099949
METRO_CUENCA_3,201807,613271
METRO_CUENCA_6,201807,1177945
METRO_LINEA_K,201807,491158
METRO_CUENCA_9_INTEGRADOS,201807,118299
METRO_CUENCA_7_INTEGRADOS,201707,375266
METRO_LINEA_H,201707,0
METRO_LINEA_2_BUSES,201707,317948
METRO_LINEA_K,201707,630026
METRO_CUENCA_6,201707,1028059
METRO_CUENCA_5_INTEGRADOS,201707,370419
METRO_LINEA_J,201707,307972
METRO_LINEA_A,201707,14278459
METRO_TRANVIA,201707,581525
METRO_LINEA_B,201707,2593310
METRO_LINEA_1_BUSES,201707,1920054
METRO_CUENCA_9_INTEGRADOS,201707,112818
METRO_LINEA_L,201707,103621
METRO_CUENCA_3,201707,594672
METRO_LINEA_H,201607,0
METRO_CUENCA_7_INTEGRADOS,201607,351112
METRO_LINEA_L,201607,110596
METRO_CUENCA_5_INTEGRADOS,201607,0
METRO_LINEA_B,201607,2479336
METRO_LINEA_K,201607,642948
METRO_LINEA_2_BUSES,201607,316855
METRO_LINEA_A,201607,14333243
METRO_LINEA_1_BUSES,201607,1825935
METRO_CUENCA_3,201607,533254
METRO_LINEA_J,201607,404220
METRO_TRANVIA,201607,375954
METRO_CUENCA_6,201607,1015339
METRO_CUENCA_6,201507,977677
METRO_LINEA_L,201507,8832
METRO_LINEA_2_BUSES,201507,345207
METRO_LINEA_B,201507,2522206
METRO_CUENCA_3,201507,539714
METRO_LINEA_K,201507,161556
METRO_LINEA_J,201507,190039
METRO_LINEA_A,201507,14898532
METRO_LINEA_1_BUSES,201507,1909444
METRO_LINEA_2_BUSES,201407,377232
METRO_CUENCA_3,201407,480761
METRO_CUENCA_6,201407,844952
METRO_LINEA_1_BUSES,201407,1806315
METRO_LINEA_K,201407,611185
METRO_LINEA_A,201407,13596987
METRO_LINEA_B,201407,2297422
METRO_LINEA_L,201407,69405
METRO_LINEA_J,201407,386238
METRO_LINEA_B,201307,2152293
METRO_LINEA_1_BUSES,201307,1351201
METRO_CUENCA_6,201307,0
METRO_LINEA_2_BUSES,201307,102249
METRO_LINEA_L,201307,86406
METRO_LINEA_K,201307,588815
METRO_LINEA_J,201307,326313
METRO_CUENCA_3,201307,0
METRO_LINEA_A,201307,12719495
METRO_LINEA_J,201207,276841
METRO_LINEA_A,201207,11193306
METRO_LINEA_K,201207,545578
METRO_LINEA_1_BUSES,201207,825996
METRO_LINEA_B,201207,1973758
METRO_LINEA_L,201207,89983
METRO_LINEA_A,201107,11200417
METRO_LINEA_J,201107,252894
METRO_LINEA_1_BUSES,201107,0
METRO_LINEA_L,201107,105380
METRO_LINEA_K,201107,544120
METRO_LINEA_B,201107,1953089
METRO_CUENCA_9_INTEGRADOS,202006,44923
METRO_LINEA_J,202006,161293
METRO_CUENCA_7_INTEGRADOS,202006,154478
METRO_TRANVIA,202006,266035
METRO_LINEA_H,202006,25829
METRO_LINEA_B,202006,611205
METRO_LINEA_2_BUSES,202006,136793
METRO_LINEA_1_BUSES,202006,683449
METRO_LINEA_A,202006,4051416
METRO_LINEA_K,202006,225826
METRO_CUENCA_6,202006,600782
METRO_LINEA_L,202006,0
METRO_CUENCA_3,202006,283499
METRO_CUENCA_5_INTEGRADOS,202006,127852
METRO_CUENCA_7_INTEGRADOS,201906,438047
METRO_LINEA_2_BUSES,201906,316446
METRO_CUENCA_6,201906,1293695
METRO_LINEA_B,201906,2042896
METRO_CUENCA_3,201906,606484
METRO_TRANVIA,201906,764567
METRO_LINEA_1_BUSES,201906,1915896
METRO_LINEA_J,201906,407461
METRO_LINEA_H,201906,57404
METRO_CUENCA_9_INTEGRADOS,201906,130079
METRO_LINEA_K,201906,376251
METRO_LINEA_L,201906,75495
METRO_LINEA_A,201906,12881074
METRO_CUENCA_5_INTEGRADOS,201906,433531
METRO_LINEA_K,201806,637178
METRO_LINEA_A,201806,13422736
METRO_LINEA_1_BUSES,201806,1937280
METRO_LINEA_L,201806,101388
METRO_LINEA_J,201806,380210
METRO_CUENCA_5_INTEGRADOS,201806,393387
METRO_LINEA_H,201806,58419
METRO_CUENCA_6,201806,1086920
METRO_LINEA_2_BUSES,201806,318859
METRO_CUENCA_9_INTEGRADOS,201806,114984
METRO_LINEA_B,201806,2026020
METRO_CUENCA_7_INTEGRADOS,201806,387588
METRO_TRANVIA,201806,677513
METRO_CUENCA_3,201806,576915
METRO_LINEA_J,201706,409670
METRO_CUENCA_6,201706,1006398
METRO_TRANVIA,201706,550894
METRO_CUENCA_5_INTEGRADOS,201706,368403
METRO_CUENCA_3,201706,553843
METRO_CUENCA_7_INTEGRADOS,201706,369761
METRO_LINEA_A,201706,14026337
METRO_LINEA_1_BUSES,201706,1864499
METRO_CUENCA_9_INTEGRADOS,201706,113814
METRO_LINEA_B,201706,2473849
METRO_LINEA_K,201706,394217
METRO_LINEA_H,201706,54393
METRO_LINEA_2_BUSES,201706,312754
METRO_LINEA_L,201706,59560
METRO_LINEA_B,201606,2490730
METRO_LINEA_H,201606,0
METRO_LINEA_L,201606,88120
METRO_LINEA_A,201606,14478151
METRO_LINEA_2_BUSES,201606,320279
METRO_LINEA_1_BUSES,201606,1822202
METRO_CUENCA_3,201606,516141
METRO_CUENCA_5_INTEGRADOS,201606,0
METRO_CUENCA_7_INTEGRADOS,201606,361047
METRO_LINEA_K,201606,519581
METRO_CUENCA_6,201606,1032966
METRO_TRANVIA,201606,335764
METRO_LINEA_J,201606,263108
METRO_LINEA_1_BUSES,201506,1728481
METRO_LINEA_2_BUSES,201506,309790
METRO_LINEA_J,201506,388261
METRO_LINEA_K,201506,607976
METRO_LINEA_L,201506,92863
METRO_CUENCA_3,201506,462444
METRO_LINEA_A,201506,13705567
METRO_LINEA_B,201506,2263646
METRO_CUENCA_6,201506,857703
METRO_LINEA_J,201406,317707
METRO_LINEA_A,201406,12029612
METRO_CUENCA_3,201406,405643
METRO_LINEA_B,201406,2026689
METRO_LINEA_2_BUSES,201406,328028
METRO_LINEA_1_BUSES,201406,1600370
METRO_LINEA_L,201406,70783
METRO_LINEA_K,201406,477690
METRO_CUENCA_6,201406,736928
METRO_LINEA_A,201306,11793653
METRO_CUENCA_3,201306,0
METRO_LINEA_2_BUSES,201306,118600
METRO_LINEA_K,201306,561938
METRO_CUENCA_6,201306,0
METRO_LINEA_J,201306,307580
METRO_LINEA_1_BUSES,201306,1217463
METRO_LINEA_B,201306,1990734
METRO_LINEA_L,201306,98370
METRO_LINEA_B,201206,1896190
METRO_LINEA_L,201206,100702
METRO_LINEA_A,201206,11085433
METRO_LINEA_J,201206,263926
METRO_LINEA_K,201206,534817
METRO_LINEA_1_BUSES,201206,782014
METRO_LINEA_1_BUSES,201106,0
METRO_LINEA_J,201106,239021
METRO_LINEA_B,201106,1901605
METRO_LINEA_A,201106,10889341
METRO_LINEA_K,201106,531382
METRO_LINEA_L,201106,114284
METRO_LINEA_J,202005,132311
METRO_LINEA_A,202005,3095025
METRO_CUENCA_9_INTEGRADOS,202005,30061
METRO_LINEA_2_BUSES,202005,97300
METRO_CUENCA_5_INTEGRADOS,202005,66092
METRO_TRANVIA,202005,194301
METRO_LINEA_B,202005,441338
METRO_CUENCA_6,202005,489910
METRO_CUENCA_3,202005,222174
